DesignName,ParticipantID,TrialID,Block1,Block2,DT,OC,visualSearchTime,ErrorCount
Touchstone2,2,0,3,2,ContrastLighting,low,2709,0
Touchstone2,2,1,3,3,ContrastLighting,high,3723,0
Touchstone2,2,2,1,2,lighting,low,3164,0
Touchstone2,2,3,1,1,lighting,medium,1727,0
Touchstone2,2,4,2,2,Contrast,low,1855,0
Touchstone2,2,5,1,3,lighting,high,2168,0
Touchstone2,2,6,1,2,lighting,low,1779,0
Touchstone2,2,7,3,1,ContrastLighting,medium,5472,0
Touchstone2,2,8,3,1,ContrastLighting,medium,6608,0
Touchstone2,2,9,3,1,ContrastLighting,medium,6383,0
Touchstone2,2,10,3,1,ContrastLighting,medium,4564,0
Touchstone2,2,11,2,1,Contrast,medium,3159,0
Touchstone2,2,12,1,2,lighting,low,1982,0
Touchstone2,2,13,1,3,lighting,high,2334,0
Touchstone2,2,14,3,2,ContrastLighting,low,4575,1
Touchstone2,2,15,3,2,ContrastLighting,low,3577,0
Touchstone2,2,16,1,1,lighting,medium,1985,0
Touchstone2,2,17,3,2,ContrastLighting,low,2343,0
Touchstone2,2,18,3,3,ContrastLighting,high,4129,0
Touchstone2,2,19,1,3,lighting,high,2482,0
Touchstone2,2,20,2,3,Contrast,high,2496,0
Touchstone2,2,21,1,1,lighting,medium,3078,0
Touchstone2,2,22,3,3,ContrastLighting,high,6832,0
Touchstone2,2,23,2,3,Contrast,high,2058,0
Touchstone2,2,24,2,2,Contrast,low,2377,0
Touchstone2,2,25,1,2,lighting,low,1574,0
Touchstone2,2,26,2,1,Contrast,medium,2061,0
Touchstone2,2,27,3,1,ContrastLighting,medium,2751,0
Touchstone2,2,28,2,3,Contrast,high,2277,0
Touchstone2,2,29,2,3,Contrast,high,1874,0
Touchstone2,2,30,3,3,ContrastLighting,high,6940,0
Touchstone2,2,31,1,3,lighting,high,2377,0
Touchstone2,2,32,1,2,lighting,low,2281,0
Touchstone2,2,33,3,1,ContrastLighting,medium,3403,0
Touchstone2,2,34,1,3,lighting,high,2661,0
Touchstone2,2,35,2,2,Contrast,low,1779,0
Touchstone2,2,36,2,3,Contrast,high,1717,0
Touchstone2,2,37,3,3,ContrastLighting,high,2527,0
Touchstone2,2,38,1,2,lighting,low,2732,0
Touchstone2,2,39,2,1,Contrast,medium,2104,0
Touchstone2,2,40,2,2,Contrast,low,2634,0
Touchstone2,2,41,1,1,lighting,medium,4653,0
Touchstone2,2,42,2,2,Contrast,low,2084,0
Touchstone2,2,43,2,2,Contrast,low,1967,0
Touchstone2,2,44,3,2,ContrastLighting,low,3985,1
Touchstone2,2,45,2,1,Contrast,medium,1919,0
Touchstone2,2,46,1,3,lighting,high,2286,0
Touchstone2,2,47,2,1,Contrast,medium,2910,0
Touchstone2,2,48,1,1,lighting,medium,2010,0
Touchstone2,2,49,1,1,lighting,medium,3271,0
Touchstone2,2,50,3,2,ContrastLighting,low,8455,0
Touchstone2,2,51,3,3,ContrastLighting,high,4041,0
Touchstone2,2,52,2,1,Contrast,medium,2206,0
Touchstone2,2,53,2,3,Contrast,high,2192,0
Touchstone2,3,0,1,1,ContrastLighting,high,5448,0
Touchstone2,3,1,3,2,Contrast,medium,2037,0
Touchstone2,3,2,1,3,ContrastLighting,low,3103,0
Touchstone2,3,3,3,1,Contrast,high,2002,0
Touchstone2,3,4,2,2,lighting,medium,3826,0
Touchstone2,3,5,1,2,ContrastLighting,medium,2672,0
Touchstone2,3,6,3,1,Contrast,high,2290,0
Touchstone2,3,7,3,2,Contrast,medium,2210,0
Touchstone2,3,8,3,2,Contrast,medium,1870,0
Touchstone2,3,9,3,2,Contrast,medium,2033,0
Touchstone2,3,10,1,3,ContrastLighting,low,2703,0
Touchstone2,3,11,2,1,lighting,high,2466,0
Touchstone2,3,12,2,3,lighting,low,2901,0
Touchstone2,3,13,3,3,Contrast,low,1797,0
Touchstone2,3,14,3,2,Contrast,medium,2001,0
Touchstone2,3,15,1,2,ContrastLighting,medium,3600,0
Touchstone2,3,16,2,3,lighting,low,1830,0
Touchstone2,3,17,2,2,lighting,medium,1966,0
Touchstone2,3,18,2,3,lighting,low,2056,0
Touchstone2,3,19,1,3,ContrastLighting,low,3300,0
Touchstone2,3,20,3,3,Contrast,low,2057,0
Touchstone2,3,21,1,2,ContrastLighting,medium,4652,0
Touchstone2,3,22,2,1,lighting,high,3396,0
Touchstone2,3,23,3,1,Contrast,high,2309,0
Touchstone2,3,24,3,3,Contrast,low,2443,0
Touchstone2,3,25,2,1,lighting,high,2966,0
Touchstone2,3,26,2,3,lighting,low,3593,0
Touchstone2,3,27,3,1,Contrast,high,2310,0
Touchstone2,3,28,1,2,ContrastLighting,medium,3615,0
Touchstone2,3,29,1,1,ContrastLighting,high,6581,0
Touchstone2,3,30,2,1,lighting,high,2098,0
Touchstone2,3,31,3,3,Contrast,low,2118,0
Touchstone2,3,32,3,1,Contrast,high,1893,0
Touchstone2,3,33,1,1,ContrastLighting,high,7718,0
Touchstone2,3,34,1,2,ContrastLighting,medium,3372,0
Touchstone2,3,35,2,2,lighting,medium,1956,0
Touchstone2,3,36,1,3,ContrastLighting,low,2855,0
Touchstone2,3,37,1,1,ContrastLighting,high,3098,0
Touchstone2,3,38,3,3,Contrast,low,1884,0
Touchstone2,3,39,3,3,Contrast,low,2124,0
Touchstone2,3,40,2,2,lighting,medium,2172,0
Touchstone2,3,41,3,1,Contrast,high,1840,0
Touchstone2,3,42,3,2,Contrast,medium,1801,0
Touchstone2,3,43,1,1,ContrastLighting,high,5053,0
Touchstone2,3,44,2,2,lighting,medium,3387,0
Touchstone2,3,45,2,3,lighting,low,2391,0
Touchstone2,3,46,2,1,lighting,high,2143,0
Touchstone2,3,47,1,3,ContrastLighting,low,3334,0
Touchstone2,3,48,1,3,ContrastLighting,low,4537,0
Touchstone2,3,49,2,2,lighting,medium,2172,0
Touchstone2,3,50,1,1,ContrastLighting,high,3653,0
Touchstone2,3,51,2,3,lighting,low,3136,0
Touchstone2,3,52,2,1,lighting,high,2114,0
Touchstone2,3,53,1,2,ContrastLighting,medium,4930,0
